codigo,clase,stock_inicial,stock_promedio,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,stock_actual,probabilidad_agotamiento,nivel_riesgo
611761,Media,23,25.36,1.14,1.0,2.0,1.25,0.1528,24,0.0038,BAJO
6628,Alta,153,160.73,1.59,1.0,3.0,4.11,0.3611,91,0.0037,BAJO
169505,Media,14,16.14,1.25,1.0,2.0,1.0,0.0694,12,0.0034,BAJO
616907,Baja,49,49.7,1.5,1.0,2.0,1.0,0.0417,31,0.0026,BAJO
611632,Baja,20,20.74,1.5,1.0,2.0,1.0,0.0417,15,0.0026,BAJO
165256,Baja,16,17.41,1.0,1.0,1.0,0.0,0.0417,5,0.0019,BAJO
7169,Baja,13,14.15,1.33,1.0,2.0,0.0,0.0417,8,0.0017,BAJO
623233,Media,22,21.23,1.0,1.0,1.0,1.0,0.0972,9,0.0016,BAJO
778318,Baja,33,33.4,2.0,2.0,2.0,1.0,0.0278,9,0.0013,BAJO
168123,Media,188,181.78,2.5,1.0,4.0,31.67,0.0694,129,0.0013,BAJO
169257,Baja,36,38.27,1.33,1.0,2.0,0.0,0.0417,20,0.0013,BAJO
623560,Baja,16,17.88,1.33,1.0,2.0,0.0,0.0417,14,0.0013,BAJO
623259,Media,14,14.82,1.33,1.0,2.0,1.0,0.0556,15,0.0012,BAJO
621615,Media,19,20.55,1.33,1.0,2.0,1.0,0.0556,21,0.0012,BAJO
780205,Media,20,20.37,1.0,1.0,1.0,1.0,0.0833,8,0.0012,BAJO
168418,Media,33,34.48,1.0,1.0,1.0,19.0,0.0833,28,0.0012,BAJO
167862,Baja,14,14.4,2.0,2.0,2.0,1.0,0.0278,6,0.0007,BAJO
791374,Media,22,23.67,1.0,1.0,1.0,1.0,0.0694,16,0.0006,BAJO
167824,Media,15,16.33,1.0,1.0,1.0,1.0,0.0694,10,0.0006,BAJO
788542,Media,21,21.7,1.0,1.0,1.0,1.0,0.0694,19,0.0006,BAJO
785244,Media,22,23.23,1.0,1.0,1.0,1.0,0.0833,14,0.0006,BAJO
8037,Media,17,18.56,1.0,1.0,1.0,1.0,0.0694,10,0.0006,BAJO
778348,Media,36,36.32,1.0,1.0,1.0,1.0,0.0833,10,0.0006,BAJO
212328,Media,275,276.66,1.0,1.0,1.0,1.0,0.0833,243,0.0006,BAJO
206232,Alta,677,577.19,2.85,1.0,14.0,658.0,0.2917,514,0.0006,BAJO
786409,Media,19,22.21,1.0,1.0,1.0,1.0,0.0833,12,0.0006,BAJO
791209,Media,19,22.01,1.0,1.0,1.0,1.0,0.1389,19,0.0005,BAJO
7180,Baja,35,34.89,2.0,2.0,2.0,18.0,0.0278,17,0.0004,BAJO
205879,Media,172,165.29,1.67,1.0,2.0,12.0,0.0556,142,0.0003,BAJO
167768,Media,32,31.21,1.0,1.0,1.0,9.67,0.0972,30,0.0003,BAJO
778312,Media,78,75.4,1.0,1.0,1.0,21.33,0.0972,36,0.0002,BAJO
168296,Media,22,23.47,1.0,1.0,1.0,3.75,0.1528,22,0.0002,BAJO
778091,Media,108,109.75,1.29,1.0,2.0,29.0,0.125,39,0.0001,BAJO
791358,Media,23,26.14,1.0,1.0,1.0,6.0,0.1389,24,0.0001,BAJO
781134,Baja,18,17.53,1.0,1.0,1.0,1.0,0.0278,4,0.0001,BAJO
169316,Baja,19,20.04,1.0,1.0,1.0,11.0,0.0417,9,0.0001,BAJO
906236,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
925116,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
169272,Muerto,34,34.0,0.0,0.0,0.0,0.0,0.0,34,0.0,BAJO
165185,Baja,16,16.41,1.0,1.0,1.0,0.0,0.0139,14,0.0,BAJO
7484,Baja,33,32.79,1.0,1.0,1.0,9.0,0.0278,23,0.0,BAJO
778503,Baja,22,22.33,1.0,1.0,1.0,0.0,0.0139,15,0.0,BAJO
621874,Baja,22,21.84,1.0,1.0,1.0,1.0,0.0278,13,0.0,BAJO
791549,Baja,18,18.34,1.0,1.0,1.0,1.0,0.0278,10,0.0,BAJO
616669,Baja,51,51.74,1.0,1.0,1.0,0.0,0.0278,42,0.0,BAJO
777914,Baja,52,50.04,1.0,1.0,1.0,33.0,0.0278,43,0.0,BAJO
7393,Baja,16,16.56,1.0,1.0,1.0,0.0,0.0278,9,0.0,BAJO
778200,Baja,30,29.32,0.0,0.0,0.0,10.0,0.0139,25,0.0,BAJO
188554,Baja,43,43.77,2.0,2.0,2.0,16.0,0.0278,23,0.0,BAJO
166266,Baja,15,15.71,1.0,1.0,1.0,0.0,0.0139,6,0.0,BAJO
166750,Baja,19,19.41,1.0,1.0,1.0,0.0,0.0139,14,0.0,BAJO
