codigo,clase,stock_inicial,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,stock,probabilidad_agotamiento
791397.0,1,24,1.0,1,1,0,0.0278,13,0.0
167855.0,1,15,1.0,1,1,0,0.0139,10,0.0
168334.0,1,30,1.0,1,1,21,0.0417,11,0.0
4212930.0,3,0,0.0,0,0,0,0.0,1,0.0
168485.0,1,16,1.0,1,1,0,0.0139,10,0.0
786532.0,1,35,1.0,1,1,1,0.0417,21,0.0
937247.0,3,0,0.0,0,0,0,0.0,1,0.0
778350.0,3,37,0.0,0,0,0,0.0,37,0.0
903904.0,3,0,0.0,0,0,0,0.0,1,0.0
212751.0,1,280,0.0,0,0,1,0.0139,280,0.0
169354.0,1,43,0.0,0,0,30,0.0139,43,0.0
168327.0,1,26,1.0,1,1,8,0.0417,10,0.0
2023838.0,3,0,0.0,0,0,0,0.0,1,0.0
778865.0,3,0,0.0,0,0,0,0.0,1,0.0
188493.0,1,63,1.0,1,1,0,0.0139,60,0.0
623089.0,1,6,1.0,1,1,0,0.0139,4,0.0
7254.0,1,21,1.0,1,1,1,0.0278,10,0.0
7534.0,1,27,1.0,1,1,1,0.0417,14,0.0
168951.0,1,28,1.0,1,1,7,0.0417,11,0.0
621500.0,1,15,1.0,1,1,0,0.0417,17,0.0
7497.0,1,22,1.0,1,1,1,0.0278,12,0.0
209415.0,1,180,10.0,10,10,0,0.0139,140,0.0
778534.0,1,29,1.0,1,1,4,0.0278,24,0.0
902474.0,3,0,0.0,0,0,0,0.0,1,0.0
921316.0,3,0,0.0,0,0,0,0.0,1,0.0
785384.0,3,0,0.0,0,0,0,0.0,1,0.0
927702.0,3,0,0.0,0,0,0,0.0,1,0.0
4220232.0,3,0,0.0,0,0,0,0.0,1,0.0
168457.0,3,20,0.0,0,0,0,0.0,20,0.0
785398.0,3,0,0.0,0,0,0,0.0,1,0.0
941069.0,3,0,0.0,0,0,0,0.0,1,0.0
778838.0,3,0,0.0,0,0,0,0.0,1,0.0
166547.0,3,0,0.0,0,0,0,0.0,1,0.0
4219269.0,3,0,0.0,0,0,0,0.0,1,0.0
930696.0,3,0,0.0,0,0,0,0.0,1,0.0
13307.0,3,0,0.0,0,0,0,0.0,1,0.0
4212272.0,3,0,0.0,0,0,0,0.0,1,0.0
14425.0,3,11,0.0,0,0,0,0.0,11,0.0
933924.0,3,0,0.0,0,0,0,0.0,1,0.0
2023808.0,3,0,0.0,0,0,0,0.0,1,0.0
934001.0,3,0,0.0,0,0,0,0.0,1,0.0
9402.0,3,0,0.0,0,0,0,0.0,1,0.0
778506.0,3,0,0.0,0,0,0,0.0,1,0.0
169144.0,3,0,0.0,0,0,0,0.0,1,0.0
1122.0,3,0,0.0,0,0,0,0.0,1,0.0
902600.0,3,0,0.0,0,0,0,0.0,1,0.0
935181.0,3,0,0.0,0,0,0,0.0,1,0.0
4217274.0,3,0,0.0,0,0,0,0.0,1,0.0
921270.0,3,0,0.0,0,0,0,0.0,1,0.0
785996.0,3,0,0.0,0,0,0,0.0,1,0.0
926773.0,3,0,0.0,0,0,0,0.0,1,0.0
