codigo,fecha,stock_actual,agotado_30d,clase,stock_inicial,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,probabilidad_agotamiento
13307.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
165250.0,2026-12-01,9,0,2,13,1.17,1,2,11,0.0972,0.024190289943458745
4218100.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
169354.0,2026-12-01,43,0,1,43,0.0,0,0,30,0.0139,0.0
921316.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
4218179.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
921270.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
4218215.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
918776.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
4218520.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
4219269.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
169270.0,2026-12-01,15,0,1,17,1.0,1,1,0,0.0139,0.0
4214232.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
4214013.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
4219630.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
4213342.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
206494.0,2026-12-01,21,0,1,35,2.0,2,2,0,0.0139,1.6680567139282734e-05
206596.0,2026-12-01,2,0,1,0,2.0,2,2,0,0.0139,0.5878295110053811
932837.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
209387.0,2026-12-01,741,0,1,843,6.0,2,10,0,0.0417,2.5491624180626365e-05
931601.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
209411.0,2026-12-01,128,0,1,138,5.0,5,5,0,0.0139,0.0
169761.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
14425.0,2026-12-01,11,0,3,11,0.0,0,0,0,0.0,0.0
209415.0,2026-12-01,100,0,1,180,10.0,10,10,0,0.0139,0.0
212751.0,2026-12-01,280,0,1,280,0.0,0,0,1,0.0139,0.0
931582.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
351734.0,2026-12-01,187,0,2,208,2.0,1,3,91,0.0556,5.863612899839015e-05
931405.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
351774.0,2026-12-01,2044,0,1,4039,160.0,20,300,4234,0.0417,0.0
169656.0,2026-12-01,21,0,3,21,0.0,0,0,0,0.0,0.0
931156.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
352169.0,2026-12-01,0,0,0,210,8.02,1,65,86,0.8194,0.49583832150431745
930696.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
4212272.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
933975.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
4212455.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
165004.0,2026-12-01,0,0,0,34,1.47,1,5,4,0.3056,0.05863892067796127
4212897.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
188404.0,2026-12-01,331,0,0,445,4.16,1,14,51,0.4583,0.0025236371441665706
206352.0,2026-12-01,0,0,0,750,9.27,1,20,400,0.3333,0.0
928906.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
169640.0,2026-12-01,10,0,1,17,1.0,1,1,0,0.0139,0.0
4212930.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
927702.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
909207.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
165337.0,2026-12-01,0,0,2,7,1.18,1,2,5,0.1944,0.03128347562628269
791414.0,2026-12-01,20,0,2,21,1.0,1,1,1,0.0694,1.0570824524312897e-05
8091.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
168951.0,2026-12-01,21,0,1,28,1.0,1,1,7,0.0417,0.0
8074.0,2026-12-01,15,0,2,28,1.2,1,2,1,0.0833,0.0009991631413134641
611543.0,2026-12-01,0,0,0,131,3.83,1,9,5,0.5972,0.01371982611236547
792032.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
611580.0,2026-12-01,11,0,2,15,1.25,1,2,2,0.1528,0.2861024236980342
611608.0,2026-12-01,17,1,0,34,1.79,1,6,4,0.5139,0.9272315574184802
611634.0,2026-12-01,9,0,1,15,1.0,1,1,0,0.0139,0.0
168941.0,2026-12-01,31,0,2,31,1.33,1,2,11,0.0694,0.001020524396164216
165436.0,2026-12-01,19,0,3,19,0.0,0,0,0,0.0,0.0
791793.0,2026-12-01,0,0,0,25,2.22,1,5,4,0.2222,0.050890044436414934
611702.0,2026-12-01,8,1,0,14,1.45,1,4,3,0.2778,0.9639104616561829
791779.0,2026-12-01,21,0,0,37,1.55,1,3,6,0.25,0.0732081591458869
611949.0,2026-12-01,0,0,2,10,1.71,1,5,4,0.1111,0.0784350820022526
7917.0,2026-12-01,13,0,2,17,1.2,1,2,2,0.125,0.014191917076505405
611991.0,2026-12-01,18,0,2,16,1.0,1,1,1,0.0694,1.0570824524312897e-05
612002.0,2026-12-01,19,0,1,33,1.0,1,1,1,0.0417,0.0
168938.0,2026-12-01,0,0,0,15,2.11,1,5,6,0.2083,0.11077590259178946
791681.0,2026-12-01,27,0,3,27,0.0,0,0,0,0.0,0.0
6132.0,2026-12-01,0,0,0,45,1.67,1,4,14,0.3472,0.012047276806566374
6137.0,2026-12-01,8,1,2,16,1.57,1,4,4,0.125,0.6804232537249078
165446.0,2026-12-01,6,0,1,14,2.0,2,2,2,0.0278,0.5325340505932065
791560.0,2026-12-01,13,0,2,22,1.25,1,2,3,0.0833,0.0017095811189064142
6146.0,2026-12-01,0,0,2,22,1.0,1,1,2,0.125,0.003565691336775674
935181.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
791442.0,2026-12-01,2,1,1,18,1.0,1,1,1,0.0417,0.28738493944328114
616092.0,2026-12-01,0,0,0,105,4.48,1,26,17,0.6667,0.4675162566305242
168829.0,2026-12-01,8,1,0,54,1.77,1,4,15,0.25,0.946310247698245
791429.0,2026-12-01,18,0,1,24,1.0,1,1,0,0.0139,0.0
616104.0,2026-12-01,60,1,0,92,2.97,1,17,1,0.5556,0.9955694237160402
611532.0,2026-12-01,16,0,0,25,1.38,1,2,4,0.2639,0.618368425433036
611531.0,2026-12-01,7,1,0,16,1.31,1,3,4,0.2222,0.9361132062819906
4220232.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
611521.0,2026-12-01,3,1,2,10,1.4,1,3,1,0.0833,0.7299292719947215
907944.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
548523.0,2026-12-01,1,1,1,0,1.0,1,1,1,0.0278,0.5627827281898868
904966.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
6058.0,2026-12-01,35,0,0,67,1.89,1,4,1,0.5139,0.6274799758574394
169173.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
903904.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
206176.0,2026-12-01,75,0,2,153,1.88,1,2,108,0.125,0.01
611260.0,2026-12-01,27,0,0,35,1.54,1,3,1,0.2222,0.12873437110200248
611282.0,2026-12-01,6,1,2,13,2.0,1,4,2,0.1528,0.9266438373201568
903674.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
611357.0,2026-12-01,14,1,0,18,1.8,1,3,1,0.2222,0.46960504535809783
611371.0,2026-12-01,46,0,2,52,1.22,1,2,1,0.1528,0.0054633550381605845
165360.0,2026-12-01,8,0,2,13,1.0,1,1,1,0.0972,0.0011738586584728614
169144.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
902600.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
611372.0,2026-12-01,40,0,2,37,1.4,1,2,1,0.0833,0.0010469568235323564
902474.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
611410.0,2026-12-01,19,0,2,17,1.5,1,4,4,0.1667,0.2630797921823793
611488.0,2026-12-01,13,0,1,12,1.5,1,2,1,0.0417,0.000680102206796194
901949.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
611491.0,2026-12-01,10,0,1,19,1.0,1,1,1,0.0278,0.0
901099.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
934001.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
611503.0,2026-12-01,25,0,0,21,1.3,1,3,2,0.2222,0.0435471323538087
168974.0,2026-12-01,17,0,1,17,1.0,1,1,8,0.0417,0.0
205877.0,2026-12-01,0,1,0,0,5.8,1,16,11,0.2917,0.6198946108064857
611517.0,2026-12-01,21,0,2,35,1.5,1,4,6,0.1806,0.31957370563764853
165387.0,2026-12-01,19,0,1,19,2.0,2,2,2,0.0278,0.004288088687242801
899832.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
937247.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
621719.0,2026-12-01,0,0,2,43,2.0,1,5,8,0.1528,0.012252872502934314
778838.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
786249.0,2026-12-01,14,0,2,18,2.5,1,4,3,0.1667,0.3088428026115571
785127.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
7780.0,2026-12-01,0,0,0,66,1.58,1,6,6,0.4722,0.03525192108260302
168148.0,2026-12-01,0,0,0,177,1.15,1,3,15,0.2639,0.008909247638889992
784711.0,2026-12-01,5,1,2,12,1.8,1,4,2,0.1111,0.8449177363488887
778009.0,2026-12-01,35,0,2,37,1.0,1,1,1,0.1389,0.0004456643342613139
188673.0,2026-12-01,18,0,1,23,1.0,1,1,0,0.0139,0.0
167798.0,2026-12-01,12,0,1,14,1.0,1,1,0,0.0139,0.0
166664.0,2026-12-01,6,0,1,15,1.0,1,1,0,0.0278,0.0
780068.0,2026-12-01,20,0,1,27,1.0,1,1,0,0.0139,0.0
784746.0,2026-12-01,22,1,0,65,5.25,1,57,14,0.3472,0.991968221165471
781393.0,2026-12-01,2,1,0,7,2.6,1,6,3,0.2083,0.9777177036651028
778138.0,2026-12-01,15,0,2,29,1.0,1,1,4,0.0556,0.0
779992.0,2026-12-01,69,0,0,65,1.46,1,4,15,0.25,0.004628697775577832
778184.0,2026-12-01,5,1,2,21,1.5,1,5,4,0.1806,0.9501612107063485
786169.0,2026-12-01,15,1,2,28,2.17,1,8,4,0.1528,0.7310334248164192
779975.0,2026-12-01,33,0,0,53,2.08,1,6,9,0.2917,0.539112712120512
