codigo,clase,stock_inicial,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,stock,probabilidad_agotamiento
616312.0,2,45,1.0,1,1,1,0.0556,24,0.0
351734.0,2,208,2.0,1,3,91,0.0556,187,0.0
899832.0,3,0,0.0,0,0,0,0.0,1,0.0
4218215.0,3,0,0.0,0,0,0,0.0,1,0.0
4218100.0,3,0,0.0,0,0,0,0.0,1,0.0
791681.0,3,27,0.0,0,0,0,0.0,27,0.0
909207.0,3,0,0.0,0,0,0,0.0,1,0.0
790021.0,3,0,0.0,0,0,0,0.0,1,0.0
785127.0,3,0,0.0,0,0,0,0.0,1,0.0
778952.0,3,0,0.0,0,0,0,0.0,1,0.0
901949.0,3,0,0.0,0,0,0,0.0,1,0.0
903674.0,3,0,0.0,0,0,0,0.0,1,0.0
4213342.0,3,0,0.0,0,0,0,0.0,1,0.0
169656.0,3,21,0.0,0,0,0,0.0,21,0.0
781128.0,3,0,0.0,0,0,0,0.0,1,0.0
4216849.0,3,0,0.0,0,0,0,0.0,1,0.0
778600.0,3,0,0.0,0,0,0,0.0,1,0.0
781756.0,3,0,0.0,0,0,0,0.0,1,0.0
904966.0,3,0,0.0,0,0,0,0.0,1,0.0
932837.0,3,0,0.0,0,0,0,0.0,1,0.0
781924.0,3,26,0.0,0,0,0,0.0,26,0.0
931156.0,3,0,0.0,0,0,0,0.0,1,0.0
789361.0,3,0,0.0,0,0,0,0.0,1,0.0
926591.0,3,0,0.0,0,0,0,0.0,1,0.0
4218016.0,3,0,0.0,0,0,0,0.0,1,0.0
4212897.0,3,0,0.0,0,0,0,0.0,1,0.0
931405.0,3,0,0.0,0,0,0,0.0,1,0.0
901099.0,3,0,0.0,0,0,0,0.0,1,0.0
4218520.0,3,0,0.0,0,0,0,0.0,1,0.0
6678.0,3,0,0.0,0,0,0,0.0,1,0.0
7634.0,3,0,0.0,0,0,0,0.0,1,0.0
4214013.0,3,0,0.0,0,0,0,0.0,1,0.0
918776.0,3,0,0.0,0,0,0,0.0,1,0.0
4212455.0,3,0,0.0,0,0,0,0.0,1,0.0
169761.0,3,0,0.0,0,0,0,0.0,1,0.0
937323.0,3,0,0.0,0,0,0,0.0,1,0.0
4217088.0,3,0,0.0,0,0,0,0.0,1,0.0
169173.0,3,0,0.0,0,0,0,0.0,1,0.0
611991.0,2,16,1.0,1,1,1,0.0694,16,0.0
8091.0,3,0,0.0,0,0,0,0.0,1,0.0
925670.0,3,0,0.0,0,0,0,0.0,1,0.0
939347.0,3,0,0.0,0,0,0,0.0,1,0.0
928906.0,3,0,0.0,0,0,0,0.0,1,0.0
941046.0,3,0,0.0,0,0,0,0.0,1,0.0
2023813.0,3,0,0.0,0,0,0,0.0,1,0.0
937599.0,3,0,0.0,0,0,0,0.0,1,0.0
4217218.0,3,0,0.0,0,0,0,0.0,1,0.0
4216550.0,3,0,0.0,0,0,0,0.0,1,0.0
789410.0,3,0,0.0,0,0,0,0.0,1,0.0
933975.0,3,0,0.0,0,0,0,0.0,1,0.0
167933.0,3,0,0.0,0,0,0,0.0,1,0.0
4218179.0,3,0,0.0,0,0,0,0.0,1,0.0
922152.0,3,0,0.0,0,0,0,0.0,1,0.0
907944.0,3,0,0.0,0,0,0,0.0,1,0.0
4217999.0,3,0,0.0,0,0,0,0.0,1,0.0
925652.0,3,0,0.0,0,0,0,0.0,1,0.0
621774.0,3,0,0.0,0,0,0,0.0,1,0.0
931601.0,3,0,0.0,0,0,0,0.0,1,0.0
